,code,airport_name,city,state
3789,NFL, Fallon NAS,Fallon, NV
3790,NGA, Young Airport,Young, Australia
3791,NGB, Lishe,Ningbo, China
3792,NGC, North Rim,Grand Canyon, AZ
3793,NGD, Auguste George,Anegada, British Virgin Islands
3794,NGE, N'Gaoundere Airport,N'Gaoundere, Cameroon
3795,NGF, Kaneohe Bay MCAS,Kaneohe, HI
3796,NGM, Agana NAS,Guam, TT
3797,NGO, Chubu Centrair International,Nagoya, Japan
3798,NGP, Corpus Christi NAS,Corpus Christi, TX
3799,NGS, Nagasaki Airport,Nagasaki, Japan
3800,NGU, Norfolk NS,Norfolk, VA
3801,NGZ, Alameda NAS,Alameda, CA
3802,NH1, Hampton Airfield,Hampton, NH
3803,NH2, Gorham Airport,Gorham, NH
3804,NH3, Dean Memorial,Haverhill, NH
3805,NH4, Moultonboro Airport,Moultonboro, NH
3806,NHA, Nha Trang,Nha-Trang, Vietnam
3807,NHD, Minhad AB,Dubai, United Arab Emirates
3808,NHK, Patuxent River NAS,Patuxent River, MD
3809,NHT, RAF Northolt,Northolt, United Kingdom
3810,NHV, Nuku Hiva Fr.Poly.,Nuku Hiva, French Polynesia
3811,NHZ, Brunswick Executive,Brunswick, ME
3812,NI1, Costa Esmeralda,Rivas, Nicaragua
3813,NIA, Nimba Airport,Nimba, Liberia
3814,NIB, Nikolai Airport,Nikolai, AK
3815,NIC, Nicosia Airport,Nicosia, Cyprus
3816,NIE, Niblack Airport,Niblack, AK
3817,NIG, Nikunau Airport,Nikunau, Kiribati
3818,NIM, Diori Hamani,Niamey, Niger
3819,NIN, Ninilchik Airport,Ninilchik, AK
3820,NIP, Jacksonville NAS,Jacksonville, FL
3821,NIS, Simberi,Simberi Island, Papua New Guinea
3822,NIT, Niort Airport,Niort, France
3823,NIX, Nioro Airport,Nioro, Mali
3824,NJ1, Camden County,Berlin, NJ
3825,NJ2, Eagles Nest,West Creek, NJ
3826,NJ3, Somerset,Somerville, NJ
3827,NJ4, Ocean City Municipal,Ocean City, NJ
3828,NJ5, Sussex Airport,Sussex, NJ
3829,NJ6, Flying W,Lumberton, NJ
3830,NJ7, Old Bridge,New Jersey, NJ
3831,NJ8, Greenwood Lake,West Milford, NJ
3832,NJA, Atsugi NAF,Atsugi, Japan
3833,NJC, Nizhnevartovsk Airport,Nizhnevartovsk, Russia
3834,NJF, Al Najaf International,Al Najaf, Iraq
3835,NJK, El Centro NAF,El Centro, CA
3836,NKA, Nkan Airport,Nkan, Gabon
3837,NKC, Nouakchott Airport,Nouakchott, Mauritania
3838,NKG, Lukou,Nanjing, China
3839,NKI, Naukiti Airport,Naukiti, AK
3840,NKM, Nagoya Airport,Nagoya, Japan
3841,NKN, Nankina Airport,Nankina, Papua New Guinea
